customer_id,tenure_months,contract_type,monthly_charges,support_tickets,payment_method,churn
CUST-100000,52,Month-to-Month,58.37,2,Direct Debit,Yes
CUST-100001,15,Month-to-Month,66.61,3,Credit Card,Yes
CUST-100002,72,Month-to-Month,65.81,1,Bank Transfer,No
CUST-100003,61,Month-to-Month,80.22,1,Bank Transfer,Yes
CUST-100004,21,One Year,62.59,1,Direct Debit,No
CUST-100005,24,Month-to-Month,58.0,1,Direct Debit,No
CUST-100006,3,Month-to-Month,61.38,2,Direct Debit,Yes
CUST-100007,22,Month-to-Month,50.71,2,Credit Card,No
CUST-100008,53,One Year,57.8,1,Direct Debit,No
CUST-100009,2,One Year,105.62,2,Direct Debit,Yes
CUST-100010,30,One Year,46.75,1,Bank Transfer,No
CUST-100011,38,One Year,59.43,1,Credit Card,No
CUST-100012,2,Month-to-Month,57.25,1,Direct Debit,Yes
CUST-100013,64,One Year,60.06,0,Direct Debit,No
CUST-100014,60,Month-to-Month,58.38,1,Credit Card,No
CUST-100015,21,Month-to-Month,70.58,1,Credit Card,No
CUST-100016,33,One Year,30.8,3,Credit Card,Yes
CUST-100017,58,Month-to-Month,85.74,1,Direct Debit,No
CUST-100018,22,One Year,77.65,2,Bank Transfer,No
CUST-100019,49,One Year,40.14,1,Credit Card,No
CUST-100020,59,Month-to-Month,20.0,0,Bank Transfer,Yes
CUST-100021,42,Month-to-Month,45.46,0,Direct Debit,No
CUST-100022,60,Month-to-Month,60.15,2,Direct Debit,Yes
CUST-100023,15,Two Year,116.61,1,Direct Debit,No
CUST-100024,62,One Year,75.87,1,Bank Transfer,No
CUST-100025,62,Month-to-Month,28.85,1,Direct Debit,Yes
CUST-100026,47,Month-to-Month,51.21,1,Direct Debit,Yes
CUST-100027,62,One Year,63.94,0,Direct Debit,No
CUST-100028,51,Two Year,70.07,1,Credit Card,No
CUST-100029,55,Month-to-Month,38.71,3,Bank Transfer,Yes
CUST-100030,64,Month-to-Month,62.3,1,Bank Transfer,No
CUST-100031,3,Two Year,50.65,3,Credit Card,No
CUST-100032,51,Month-to-Month,42.92,1,Bank Transfer,No
CUST-100033,7,Month-to-Month,70.19,3,Direct Debit,No
CUST-100034,21,Two Year,80.48,0,Bank Transfer,No
CUST-100035,39,One Year,81.82,1,Direct Debit,No
CUST-100036,18,Month-to-Month,76.49,1,Direct Debit,No
CUST-100037,4,Month-to-Month,55.05,1,Direct Debit,No
CUST-100038,60,Month-to-Month,79.29,2,Direct Debit,No
CUST-100039,14,Month-to-Month,71.18,0,Direct Debit,No
CUST-100040,9,Two Year,67.68,0,Direct Debit,No
CUST-100041,53,Month-to-Month,52.77,0,Direct Debit,Yes
CUST-100042,2,One Year,55.06,1,Direct Debit,No
CUST-100043,60,Two Year,66.48,1,Direct Debit,No
CUST-100044,71,Month-to-Month,113.8,2,Bank Transfer,Yes
